Rk,Gcar,Gtm,Date,Tm,HmAw,Opp,Rslt,Inngs,Dec,DR,IP,H,R,ER,BB,SO,HR,HBP,ERA,BF,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,GSc,IR,IS,SB,CS,PO,AB,2B,3B,IBB,GDP,SF,ROE,aLI,WPA,RE24,DFS(DK),DFS(FD),Entered,Exited
1,53,3,Apr 8,NYM,,PHI,W7-2,GS-6,W(1-0),99,6.0,5,1,1,0,6,0,0,1.50,22,76,53,15,11,7,9,4,1,0,64,,,0,1,0,22,1,0,0,0,0,0,1.14,0.187,1.85,,,1t start tie,6t 3 out tie
2,54,17,Apr 24,NYM,@,ATL,W3-2,GS-6,W(2-0),15,5.667,8,1,1,0,3,0,0,1.54,24,82,59,12,8,13,8,2,1,0,52,,,0,0,0,23,0,0,0,1,0,0,1.17,0.174,1.69,,,1b start a 1,6b 1-- 2 out a2
3,55,22,Apr 30,NYM,,SFG,W6-5,GS-6,W(3-0),5,6.0,2,3,0,4,5,0,0,1.02,24,99,59,18,13,9,6,2,1,0,63,,,0,0,0,20,0,0,0,0,0,1,1.02,0.091,-0.15,,,1t start tie,6t 3 out a2
4,56,27,May 5,NYM,@,SDP,L3-5,GS-5,L(3-1),4,5.0,8,3,3,1,2,1,0,1.99,23,86,59,7,13,10,10,7,0,0,40,,,0,0,0,21,3,0,0,0,0,0,.60,-0.138,-0.65,,,1b start tie,5b 3 out d3
5,57,32,May 10,NYM,@,LAD,L2-3,GS-7,,4,7.0,8,2,2,0,4,0,0,2.12,28,103,71,13,9,14,10,7,1,0,57,,,0,0,0,27,4,0,0,0,1,0,1.08,0.230,1.37,,,1b start tie,7b 3 out tie
6,58,37,May 15,NYM,@,COL,L3-4,GS-7,,4,6.333,4,3,3,3,3,1,0,2.50,26,102,72,18,7,8,12,6,1,0,53,,,0,0,0,23,1,0,0,0,0,0,1.12,0.125,1.28,,,1b start tie,7b -2- 1 out a1
7,59,42,May 21,NYM,,MIL,W5-4,GS-5,,5,5.0,5,4,4,3,7,1,0,3.07,23,100,65,15,17,1,12,6,2,0,45,,,0,0,0,18,1,0,0,0,1,0,.93,-0.212,-1.62,,,1t start tie,5t 3 out d2
8,60,47,May 27,NYM,,LAD,W6-5,GS-7,,5,7.0,3,1,1,3,7,0,1,2.81,27,100,58,15,9,8,8,1,1,0,71,,,0,1,0,21,0,0,0,1,1,1,1.10,0.211,2.33,,,1t start tie,7t 3 out a4
9,61,52,Jun 1,NYM,,CHW,L1-2,GS-7,,4,7.0,5,1,1,2,10,1,0,2.62,26,110,71,23,14,8,6,3,1,0,71,,,0,1,0,24,1,0,0,1,0,0,1.32,0.244,2.33,,,1t start tie,7t 3 out tie
10,62,57,Jun 7(2),NYM,@,PIT,L1-3,GS-6,L(3-2),5,6.0,6,3,3,0,9,0,0,2.80,25,107,68,22,11,8,8,3,1,0,57,,,0,0,0,25,2,0,0,0,0,1,.77,-0.098,-0.05,,,1b start tie,6b 3 out d2
11,63,63,Jun 14,NYM,,PIT,L0-4,GS-6,L(3-3),6,6.0,6,2,2,1,9,1,0,2.82,25,105,68,22,11,9,6,2,1,0,60,,,1,0,0,24,0,0,0,0,0,0,.99,0.019,0.85,,,1t start tie,6t 3 out d2
